,Data
0,"Phew. What a whirlwind 90 minutes that was. An amazing innings and most of it was from Aaron Finch who blasted the highest individual score in a T20 international, it was a blistering innings and he blew England away from the very first ball he faced - which went for six! Australia have the second-highest international T20 total and surprise, surprise, England will need a record"
1,Ahmed back into the attack for Faulkner
2,"Fawad to Root, no run gets forward, can't pierce the field at cover"
3,"Fawad to Root, 1 run googly this time, Root plays with the spin for a single through square leg"
4,"Fawad to Buttler, 2 runs full and driven from under the eyeline into the covers, a misfield brings them one"
5,"Fawad to Buttler, no run drops way back in the crease, beaten by a big-turning legbreak and Wade breaks the bails again"
6,"Fawad to Buttler, FOUR runs done him in the flight, tossed up and gripping, Buttler slices a drive through backward point, didn't get hold of it but there's enough wood on it to send the ball to the rope"
7,"Fawad to Buttler, 1 run on the charge, digs the ball out towards mid-on for one"
8,"Hazlewood to Buttler, 1 run short of a length, pulls past the bowler for a single"
9,"Hazlewood to Root, FOUR runs bouncer, at the man, Root spots it and isn't going to be hit again, thwacks a pull between deep midwicket and wide long-on"
10,"Hazlewood to Root, 1 run short again, mistimed pull and a bottom edge runs short into the leg side"
11,"Hazlewood to Buttler, no run pitched up, Buttler chops down on it"
12,"Hazlewood to Buttler, SIX runs steps away and plays a tennis shot down the ground, a swat of those Buttler forearms and six is served, straight over Hazlewood's head"
13,"Hazlewood to Buttler, 1 run pitched up, good yorker from Hazlewood, dug out into the off side"
14,"Johnson to Buttler, 1 run short and steered into the gully"
15,"Johnson to Root, SIX runs sliced, hard and into a gap behind square, free flow of the arms and Root has used Johnson's pace to skim the ball flat and all the way over the rope"
16,"Johnson to Root, FOUR runs opens his body up again, backing away to crack a drive flat through the covers, that'll be four more"
17,"Johnson to Root, FOUR runs bouncer from Johnson, rolls the fingers over it but still comes out at around 80mph, Root pulls it flat through the air from outside off to deep square for another boundary!"
18,"Johnson to Root, (no ball) sends it full and wide, Root misses but Johnson had overstepped again"
19,"Johnson to Root, no run good comeback, fast wide yorker and Root falls to connect again"
20,"Johnson to Root, 1 run Root moving about in his crease, trying to call Johnson's bluff, it's a low full toss outside off and prodded into the covers"
21,"Faulkner to Root, 1 run full and sliding to leg, squirts the ball out through square"
22,"Faulkner to Buttler, 1 run gets forward, hacks across the line and gets one down the ground to long-off"
23,"Faulkner to Root, no run Root tries to get cute, goes across his stumps and tries to scoop, Faulkner had delivered the ball out of the back of the hand and the lack of pace foils him, it bounces over the stumps and through to Wade"
24,"Faulkner to Root, 1 run comes forward, bunts a full ball into the ground to long-on for one"
