,Data
0,Toss: West Indies have won the toss and they will bat first.
1,"McKay to Gayle, no run good length on the off stump and Gayle softly pushes it back to the bowler"
2,"McKay to Gayle, 1 run quick single to get off the mark, pushed to the off side in front of point, off the blocks is @henrygayle"
3,"McKay to Charles, no run confident push off the front foot towards point, off the middle of the bat"
4,"McKay to Charles, 3 runs drifts towards the pads and he pulls on one leg behind square leg, good running, they have time to come back for three"
5,"McKay to Gayle, no run Haddin's dropped the Big Fish would you believe this? Gayle gave himself room and came down the track to biff it over the off side, too much room, outside edge and Haddin threw himself to his left and had it covered, popped off th"
6,"McKay to Gayle, 1 run stays back and clips it to the on side"
7,"Hazlewood to Gayle, no run full and moving away and he doesn't offer a shot"
8,"Hazlewood to Gayle, SIX runs take that! Pitched up outside off, stays at the crease, bends down and launches it with ease over long-off"
9,"Hazlewood to Gayle, OUT Coulter-Nile pulls off a blinder! This was short and he tried to pull this over mid-on, didn't look in full control, miscued, Coulter-Nile pedalled backwards as quickly as he could, cupped it with his left hand, fell backwards an"
10,"Hazlewood to Charles, 1 run fullish on middle and leg and worked it to the on side"
11,"Hazlewood to Bravo, 1 run on the pads and flicked to the on side"
12,"Hazlewood to Charles, FOUR runs good shot, drifts towards the pads again, good length and pulled along the ground wide of short fine leg"
13,"Faulkner to Bravo, no run gets on the front foot and pushes it softly"
14,"Faulkner to Bravo, no run"
15,"Faulkner to Bravo, FOUR runs clean strike, fullish in length on the off stump and he crisply lofts over mid-on"
16,"Faulkner to Bravo, no run comes towards middle and leg and Bravo clips it to the on side"
17,"Faulkner to Bravo, no run nearly sneaked through! Drifting on middle and leg and he played down the wrong line, the ball hits his pads and lobs to the keeper"
18,"Faulkner to Bravo, 1 run slower ball and he squeezes it off the front foot wide of backward point who dives"
19,"Hazlewood to Bravo, 1 run stays beside the line and gently knocks it wide of point"
20,"Hazlewood to Charles, 1 run saved a certain boundary! Charles made room to crash that wide of cover and Bailey dived and got a hand to it, excellent fielding"
21,"Hazlewood to Bravo, 3 runs touch wide outside off and he gets forward and carves it over extra cover"
22,"Hazlewood to Charles, 2 runs good length on the body and clipped in the air over midwicket, deep midwicket picks up"
23,"Hazlewood to Charles, no run fishes at one outside the off stump and he's beaten"
24,"Hazlewood to Charles, 1 leg bye tries to pull and the ball lobs towards the keeper, Haddin runs forward to catch but the non-striker sets off for the run, Charles has to hurry and Haddin's under-arm throw hits the batsman's stumps"
25,"Coulter-Nile to Charles, no run Direct hit needed! This was clipped to short fine leg, sets off, hurries back and the fielder's throw is wide of the stumps"
26,"Coulter-Nile to Charles, no run makes room and tries to clear the off side and he misses it"
27,"Coulter-Nile to Charles, no run good length on the off stump and he pushes it to cover"
28,"Coulter-Nile to Charles, FOUR runs bit streaky! Charles makes room and tries to whack it through the off side but gets an inside edge and the ball goes between his legs and down to fine leg"
29,"Coulter-Nile to Charles, FOUR runs good shot! More conventional this time, this was a length ball and he stood at the crease and whipped away wide of short fine leg"
30,"Coulter-Nile to Charles, 3 runs good length on the off stump and he pushes it wide of extra cover"
31,"Faulkner to Charles, no run"
32,"Faulkner to Charles, no run tries to work it away and the ball clips his pads and rolls away"
33,"Faulkner to Charles, no run makes room and tries to wham that down the pitch but Faulkner gets his hand to it"
34,"Faulkner to Charles, 1 run on the off stump and he works it across the line to square leg"
35,"Faulkner to Bravo, no run keeps it nice and straight and he knocks it back to the bowler"
36,"Faulkner to Bravo, 1 run steers a slower ball in front of short third man and sets off"
37,"Coulter-Nile to Bravo, 1 run goes back at the crease and softly works it towards midwicket"
38,"Coulter-Nile to Charles, 1 run he loves the pull, fetches that from the off stump and middles it down to deep square leg"
39,"Coulter-Nile to Bravo, 1 run chopped just wide of point and third man picks up"
40,"Coulter-Nile to Charles, no run this was the slower and shorter, got on the pull a bit too early and swished at thin air"
41,"Coulter-Nile to Charles, SIX runs terrific! Charles moves down the pitch a few paces and whips a length delivery quick and flat over deep midwicket, he middled that well didn't he?"
42,"Coulter-Nile to Charles, 1 run works it down to deep square leg for a single"
43,"Cutting to Charles, 1 run good length on the body and tucked away towards fine leg"
44,"Cutting to Bravo, 2 runs comes round the wicket, drifts on the pads and he works it down to fine leg"
45,"Cutting to Bravo, FOUR runs to call that a 'clean' hit wouldn't do justice, pitched up and he lofted that ever so gracefully over extra cover, you couldn't hear the sound of ball striking bat"
46,"Cutting to Bravo, 1 run gets forward and across and pushes it to the off side"
47,"Cutting to Charles, 1 run stays beside the line and opens the face of the bat and steers it down to third man"
48,"Cutting to Bravo, 1 run short and rising on the helmet and he takes it high on the bat, drops it to the off side and sets off"
49,"McKay to Bravo, 1 run fetches that from outside the off stump and pulls it along the ground to long-on"
50,"McKay to Charles, 2 runs the slower short ball outside off, he pulls it down to square leg"
51,"McKay to Charles, FOUR runs puts away a poor delivery, almost a half tracker outside off, hops at the crease and hammers it over extra cover"
52,"McKay to Charles, 1 run short delivery on the leg stump and pulled to fine leg"
53,"McKay to Bravo, 1 run fuller delivery outside off and driven along the turn to deep cover"
54,"McKay to Charles, FOUR runs good improvisation! He knew there was no slip, just opened the face of the bat and dabbed it wide of the keeper and short third man gives up the chase"
55,"Cutting to Bravo, 1 leg bye just a touch short down the leg side and knocked to square leg"
56,"Cutting to Charles, FOUR runs almost went all the way! He went forward and carved a length ball and it was in the air and looping towards sweeper cover, just wide of the fielder"
57,"Cutting to Charles, 1 run punches it down to mid-off"
58,"Cutting to Bravo, 1 run drifts on the pads and clipped to fine leg"
59,"Cutting to Charles, 2 runs this was a touch short and he controls the pull along the turf down to deep square leg and that's his fifty!"
60,"Cutting to Charles, 2 runs slower ball and pulled on one leg down to deep square leg, two fielders in the deep converge"
61,"Coulter-Nile to Bravo, FOUR runs fetch that! It was a half volley outside off and waiting to be spanked, made room and played an exquisite cover drive wide of the infield, screeching away"
62,"Coulter-Nile to Bravo, 2 runs chance! Bravo makes room to a short delivery and gets a top edge off the forehand, at least two fielders run after it and the ball drops safely a few yards from the extra cover circle"
63,"Coulter-Nile to Bravo, 1 wide drifts down the leg side"
64,"Coulter-Nile to Bravo, 1 leg bye on the pads and clipped down to fine leg"
65,"Coulter-Nile to Charles, FOUR runs streaky! Charles made room to drive that through the off side and got an inside edge wide of short fine leg"
66,"Coulter-Nile to Charles, no run"
67,"Coulter-Nile to Charles, OUT not much room and he manages to steer it down to third man"
68,"Hazlewood to Bravo, 1 run opens the face and steers it down to point"
69,"Hazlewood to Pollard, no run skidded through and he tried to work it away, hits his body"
70,"Hazlewood to Pollard, 1 run drifts on the pads and worked to the leg side"
71,"Hazlewood to Bravo, no run good length on the off stump, cramped for room, he punches it back to the bowler"
72,"Hazlewood to Bravo, 1 run Knocked towards short cover for a quick single"
73,"Hazlewood to Pollard, 1 leg bye drifts on the pads and he shuffles and works it down to fine leg for a single"
74,"Cutting to Pollard, 2 runs chance! Pollard made room and chipped down the track to launch it over the off side, miscued and it just cleared the fielder at long-off"
75,"Cutting to Pollard, 1 run, OUT terrible mixup with both at the same end! Pollard plays a strange shot, chipped it in the air and it just fell short of a diving McKay at cover, McKay fired it to the striker's end and both set off for the second, Pollard"
76,"Cutting to Bravo, no run gets on the back foot and defends"
77,"Cutting to Bravo, 1 run pushes it towards mid-off and sets off"
78,"Cutting to Pollard, 2 runs gets on one leg and pulls along the ground down to the leg side for a couple"
79,"Cutting to Pollard, FOUR runs smacked! This was just short of a length, picked the length early, swiveled and whacked it over midwicket, terrific bat speed"
80,"McKay to Bravo, no run tries to run it square on the off side and it skids through and beats the bat"
81,"McKay to Bravo, no run Bravo's not sure of his off stump, comes forward and pokes his bat out, just sneaks past the edge"
82,"McKay to Bravo, 3 runs good running! Works it away to the long boundary down to fine leg, work for the fielder and they run quickly"
83,"McKay to Pollard, no run beaten! McKay creating some chances, this was sneaks past the edge again"
84,"McKay to Pollard, 2 runs close call! Short arm pull and Finch flings himself to his right and fails to hang on, tough chance"
85,"McKay to Pollard, FOUR runs this was even better! Pollard seized on a short ball and pulled with force, bisects the gap between two fielders in the deep at deep midwicket"
86,"Coulter-Nile to Bravo, no run good length on the off stump and he defends"
87,"Coulter-Nile to Bravo, no run another straight one and he can only knock it back to the bowler"
88,"Coulter-Nile to Bravo, 1 run fullish outside the off stump and squeezed down to third man"
89,"Coulter-Nile to Pollard, 1 run bowls it full outside off and he just about squirts it out"
90,"Coulter-Nile to Bravo, 1 run fullish outside off and driven wide of cover"
91,"Coulter-Nile to Pollard, 1 run good over, drilled a full delivery down to cover and takes a single"
92,"Cutting to Pollard, SIX runs lucky for Pollard! It was short and looking to pull, it was a top edge that cleared the keeper and everyone else and cleared the rope"
