,Data
0,"9.20am: The coin has been tossed - and Darren Sammy has won it (for the first time in 10 attempts, no less). He's decided West Indies will have a bowl, perhaps influenced by the conditions. I'm presuming he has not based his decision on the success of his team's chasing a"
1,"9.55am: The covers are coming off! The start has been rescheduled for 10.15am, with a full 50-over schedule to come. Plenty of time for you to set up the steel drums."
2,"Right, the players are out, under an overcast sky, and we're about to start. Kemar Roach will take the first new ball ..."
3,"Roach to Watson, 2 runs short, pulled into the ground behind square leg and Watson's off the mark first ball"
4,"Roach to Watson, no run bouncer, flies through as the batsman ducks"
5,"Roach to Watson, no run length, on off and defended down the wicket"
6,"Roach to Watson, no run short, attacking the batsman's body, dropped into the on side"
7,"Roach to Watson, no run length, seaming in and taking a chunk of bat before hitting the pad and rolling to midwicket"
8,"Roach to Watson, no run length ball outside off and Watson's shoulders arms"
9,"Bravo to Warner, no run full, swinging in a touch and driven to mid-off"
10,"Bravo to Warner, no run full again, swinging in before seaming a touch, beating Warner's attempted glance. Very close that"
11,"Bravo to Warner, no run length, pushed towards cover"
12,"Bravo to Warner, 1 run angled across and driven wide of the cover fielder"
13,"Bravo to Watson, 2 runs slightly full, on off and punched through the leg side"
14,"Bravo to Watson, no run length, prodded into the on side"
15,"Roach to Warner, no run short, Warner goes back on his toes and cuts to the man at point"
16,"Roach to Warner, no run thumps into Warner's pad as he chopped down on the ball - but it pitched outside leg"
17,"Roach to Warner, no run slanted across and dabbed to point again"
18,"Roach to Warner, no run length and beats the outside edge, Warner slashing like a horror movie bad guy"
19,"Roach to Warner, no run on the legs and nudged square to the fielder"
20,"Roach to Warner, no run short, hooked off his hips, again to the fielder, who tries to throw down the non-striker's end"
21,"Bravo to Watson, 1 run bit of width and Watson leans into a lazy, picture-perfect cover drive to the sweeper on the boundary"
22,"Bravo to Warner, 2 runs leg-stump line, tucked up but manages to squeeze the ball between square leg and midwicket for a couple"
23,"Bravo to Warner, 2 runs full, driven in the air, just dying on the fielder, Johnson Charles, as he dived for what would have been a spectacular catch"
24,"Bravo to Warner, FOUR runs short and hooked powerfully over midwicket - a sign of attacking intent from Warner"
25,"Bravo to Warner, no run length, outside off and angling across, driven on the bounce to cover-point"
26,"Bravo to Warner, no run defended into the off side"
27,"Roach to Watson, no run length, on the stumps, defended"
28,"Roach to Watson, 1 run bit of room outside off and driven through a gap in the covers"
29,"Roach to Warner, 1 run length, cut behind square"
30,"Roach to Watson, no run angled in from wide of the stumps, defended on the front foot"
31,"Roach to Watson, no run defended on the stumps"
32,"Roach to Watson, no run defended to third man, an aborted run nearly has Watson in trouble"
33,"Bravo to Warner, no run length, tight off-stump line, defended"
34,"Bravo to Warner, 3 runs full, driven square and a misfield sees the ball slip through at point before being reined in near the boundary"
35,"Bravo to Watson, no run good length, outside off and driven to cover where Sammy catches on the bounce"
36,"Bravo to Watson, no run outside off, prodded to cover again"
37,"Bravo to Watson, no run angled in, seaming a touch and chopped back to the bowler with Watson coming forward"
38,"Bravo to Watson, no run forward defensive back to the bowler"
39,"Roach to Warner, no run defended on the stumps"
40,"Roach to Warner, OUT bowled him! The delivery was back of a length but shot through low, clipping Warner's pad as he tried to play back before rattling into the stumps halfway up. The batsman was done by the bounce (or lack thereof) - but he had already misjudged a c"
41,"Roach to Forrest, no run pitched up, outside off, left by Forrest"
42,"Roach to Forrest, no run full length again, driven to cover"
43,"Roach to Forrest, no run forward and clipped to point"
44,"Roach to Forrest, OUT another one gone! Roach lures Forrest into a jab outside off, the bat well away from his body, and a thick edge is safely pouched by second slip"
45,"Bravo to Watson, FOUR runs loose ball, short and with room outside off for Watson to muscle the ball to the boundary between deep point and third man"
46,"Bravo to Watson, no run tighter line, defended into the on side"
47,"Bravo to Watson, 1 run width again but this time Watson cuts in front of point and the man in the deep fields"
48,"Bravo to Hussey, 1 wide down the leg side, Bravo losing his radar"
49,"Bravo to Hussey, 1 run angled across and dabbed to third man"
