,Data
0,1.30pm Australia have won the toss and will bat first.
1,"Southee to Finch, 1 wide starts off with a big outswinging wide well outside off, Finch also chases wildly. Nervous start"
2,"Southee to Finch, 3 runs back of length well outside off and Finch stays back to jab it just past midwicket for three"
3,"Southee to Warner, 1 wide down the leg side for Warner now, goes past his pads for another wide"
4,"Southee to Warner, 1 run full on the pads, worked away easily with the swing for one"
5,"Southee to Finch, FOUR runs down leg for Finch now, he just helps it along the way, it was swinging down as it is and goes fine for four"
6,"Southee to Finch, no run fullish outside off now, Finch swings his arms drives it to mid off"
7,"Southee to Finch, 1 run angled in towards the pads, tucked to midwicket for a single as the fielder gets a dive to get a hand"
8,"Southee to Warner, 4 byes bouncer to end the over, that goes over Warner on the leg side and over Ronchi too. Four byes and 15 from the first over"
9,"Boult to Finch, 1 leg bye starts off on the leg side, deflects off the pads on the leg side for one"
10,"Boult to Warner, SIX runs thick edge for six! Shortish ball outside off, Warner threw his bat at it with a slog on the leg side and a very thick top edge went for six to the fine third man boundary"
11,"Boult to Warner, 2 runs short and wide, Warner stays back and chips it over point for two"
12,"Boult to Warner, no run swing and a miss, there it is! Beautiful delivery shaping away from outside off, Warner pushed at it without moving much and missed"
13,"Boult to Warner, no run touch fuller and shaping away again, left alone this time"
14,"Boult to Warner, no run length delivery outside off, driven to short cover"
15,"Southee to Finch, SIX runs second six in the first 13 balls! It was pitched up just outside off, Finch saw it early and lofted it straight down the ground to the long on boundary for a clean six"
16,"Southee to Finch, OUT Southee draws first blood, the crowd erupts! He took the risk of pitching it up again just outside off, swung it in a bit and the ball went through the drive Finch unleashed. Off stump knocked over, Southee pumps his fists and is mobbed by his team-mates"
17,"Southee to Watson, FOUR runs easy first ball for Watson, get a full toss on the pads and he flicks it away just behind square on the leg side past the umpire for four"
18,"Southee to Watson, no run back to good-length delivery outside off, left alone this time"
19,"Southee to Watson, 2 runs fullish on middle and leg, Watson puts his front foot forward and flicks it to the square leg region for two"
20,"Southee to Watson, no run much better and straighter from Southee on length, Watson defends on the leg side and sees there's no time for a run"
21,"Boult to Warner, no run swinging into the batsman, no room at all and Warner pushes it down to mid on"
22,"Boult to Warner, 2 runs bit too full outside off, Warner drives to get it just past cover point and gets two"
23,"Boult to Warner, no run on the off stump now on length, pushed back to the bowler"
24,"Boult to Warner, 1 run angled into Warner again, worked with the swing to the leg side for one"
25,"Boult to Watson, no run angles it across with some outswing outside off and Watson lets it go"
26,"Boult to Watson, no run what a yorker! Right in the block hole on middle stump, Watson lost his balance but did well to get bat on it and dug it out to short midwicket"
27,"Southee to Warner, no run short ball just around leg stump line, goes over Warner as he ducks awkwardly"
28,"Southee to Warner, FOUR runs expects the short ball, gets it and pulls it to the fine leg boundary for a one-bounce four. There's no fielder there, was one deep backward square"
29,"Southee to Warner, FOUR runs another short ball and he slams it with a pull to the square leg boundary. Doesn't look like that bowling plan is working there, whatever it is"
30,"Southee to Warner, no run much better, on off stump and Warner blocks it back"
31,"Southee to Warner, no run length delivery outside off, pushed into the covers"
32,"Southee to Warner, 1 run slightly straighter on middle stump, turned to the leg side past midwicket for one"
33,"Boult to Warner, 1 run shortish just around off, jabbed off the back foot to leg for one"
34,"Boult to Watson, no run good, short ball angling across from just outside off, Watson drops his hands and lets it go"
35,"Boult to Watson, 1 run full on middle stump and it's flicked to leg for one"
36,"Boult to Warner, no run on length outside the off stump, turned softly to the leg side for one"
37,"Boult to Warner, 1 run full and wide, Warner chases and gets a thick edge in the air to third man. Southee runs in and does well to stop it after a bounce"
38,"Boult to Watson, no run angled across the batsman from outside off, a careful Watson lets it go"
39,"Vettori to Warner, no run bit short outside off, Warner muscles it off the back foot to cover where there's a slight fumble"
40,"Vettori to Warner, no run on length on middle now, Warner defends it on the off side"
41,"Vettori to Warner, no run on length just outside off, pushed into the covers"
42,"Vettori to Warner, no run pitched up on middle and leg, Warner slogs on leg and can't clear short midwicket"
43,"Vettori to Warner, no run towards the leg side now, Warner wants to pull it fine but finds short fine leg"
44,"Vettori to Warner, 2 runs bit of room outside off and Warner punches it between point and cover point to avoid a maiden. Excellent over, nevertheless"
45,"Boult to Watson, no run short ball around off, Watson pulls and gets an inside edge onto his thigh pad"
46,"Boult to Watson, no run lovely inswinging delivery on length on off, inside edge onto the front pad"
47,"Boult to Watson, no run swings it again into Warner from middle stump, he works it to short midwicket this time"
48,"Boult to Watson, 1 run 143mh, nice inswing again form off stump, Watson drives and gets another inside edge, this one down to fine leg"
49,"Boult to Warner, 2 runs around length outside off, Warner drives it through the covers in the gap for two as Baz chases and cuts it back"
50,"Boult to Warner, 1 wide errs down the leg side this time for a wide"
51,"Boult to Warner, no run edged to second slip after a bounce! Teasing line outside off, Warner was too late to leave and the ball took some bat to head towards second slip"
52,"Vettori to Watson, 1 run length delivery towards off and middle, pushed back to the bowler towards the non-striker and a single is conceded as Warner comes in Vettori's way"
53,"Vettori to Warner, 1 run towards middle and leg, worked to leg for an easy single"
54,"Vettori to Watson, 1 run bit of room and turning away, Watson goes back and chops it just wide of short third man for one"
55,"Vettori to Warner, no run short and flat towards leg, Warner goes down on a knee to pull but takes it on his body"
56,"Vettori to Warner, 2 runs nearly taken, very tough chance! Warner cut the ball outside off, got a thick edge and it went in the air to short third man where Boult dived to his right and maybe got a finger to it"
57,"Vettori to Warner, no run length delivery around off, pushed down to mid off for one"
58,"Boult to Watson, no run length delivery outside off, defends it to cover off the back foot"
59,"Boult to Watson, 1 run short ball on the leg side and it's pulled to fine leg for one"
60,"Boult to Warner, no run beaten! Warner made a bit of room to push this one on off, but the ball shaped away just a bit from length outside off to evade him"
61,"Boult to Warner, 1 run pushes this one past short cover and cover point for one"
62,"Boult to Watson, no run length delivery from outside leg, taken on the pad as he tries to work it on leg"
63,"Boult to Watson, FOUR runs short ball angled in and he pulls it away flat and quick behind square on the leg side for a powerful four"
64,"Vettori to Warner, no run comes down the track and pushes the ball to mid off"
65,"Vettori to Warner, 1 run shuffles across and swats the ball to deep midwicket for one"
66,"Vettori to Watson, no run sliding in towards middle and leg, defends on the leg side"
67,"Vettori to Watson, no run coming in again towards the batsman, worked to deep backward"
68,"Vettori to Watson, 1 run goes back and steers the ball from leg stump towards midwicket for one"
69,"Vettori to Warner, no run pitched up outside off, driven into the covers straight to the fielder"
70,"Southee to Watson, 1 wide another big wide to start the spell, swings it away from outside off for a wide"
71,"Southee to Watson, no run close to the wide line again but this one survives as Watson chases and misses"
72,"Southee to Watson, 2 runs bit full outside off, Watson drives it nicely into the covers off the front foot. It's going for four but Baz chases again and saves two runs"
73,"Southee to Watson, 2 runs angled in towards the batsman, worked off the pads past midwicket for two"
74,"Southee to Watson, no run length delivery outside off, solid defence from Watson"
75,"Southee to Watson, 1 run length delivery shaping away outside off, taps it late to third man for one"
76,"Southee to Warner, no run swinging in a bit towards the batsman, he defends it on leg with the lack of room"
77,"Vettori to Watson, 1 run slightly full on middle, turned towards cow corner for one"
78,"Vettori to Warner, 1 run well outside off, Warner gets room and pushes to deep point for one"
79,"Vettori to Watson, 1 run outside the off stump, Watson slaps it down to long off for one"
80,"Vettori to Warner, no run right on middle stump on length, pushed back to the bowler"
81,"Vettori to Warner, 1 run flighted on middle stump, driven down the ground to long on for one"
82,"Vettori to Watson, OUT Watson has holed out! It was a innocuous short ball on the stumps, Watson went back in the crease and pulled it to the leg side where Southee went to his right to complete an easy catch at deep midwicket"
83,"Southee to Warner, OUT two in two for NZ, Southee gets Warner lbw but he wants a review! This one swung into the batsman to cram him up as the ball probably headed towards middle leg, Warner went on is toes to defend as the ball hit just above the knee roll after pitching on leg. It's hitting the stumps, with umpire's call so Warner has to"
84,"Southee to Smith, no run shapes it away from the batsman well outside off, Smith lets it go"
85,"Southee to Smith, no run on length from wide of the crease outside off, pushed into the covers"
86,"Southee to Smith, 2 runs outswing for the fullish delivery outside off, Smith drives it nicely into the covers. Who else but Baz chases it again to keep it to two"
87,"Southee to Smith, 1 run slightly full again outside off, Smith drives and Baz dives to his left to save a few runs"
88,"Southee to Clarke, 2 runs length delivery outside off with some room, steered towards deep point to get off the mark"
89,"Vettori to Smith, 1 run comes down the track and pushes to long on for one"
90,"Vettori to Clarke, no run just short of slip! He drew Clarke forward towards off with a length delivery turning away, drew the edge too but it fell short of first slip"
91,"Vettori to Clarke, 1 run comes down the pitch and turns the ball to leg side for one"
92,"Vettori to Smith, no run goes back dangerously and defends the ball from middle stump"
93,"Vettori to Smith, no run flighted just outside off, Smith waits and defends it back"
94,"Vettori to Smith, no run goes back and pushes the ball from outside off to point"
95,"Southee to Clarke, 2 runs bit too full outside off, driven handsomely through the covers in the gap for two"
96,"Southee to Clarke, no run right on the off stump on length, Clarke defends solidly on the leg side"
97,"Southee to Clarke, FOUR runs angled towards the pads from wide of the crease and Clarke flicks it away nicely off his legs to the square leg boundary for four"
98,"Southee to Clarke, 1 run short ball angled in now, he hops back to help it to fine leg for one"
99,"Southee to Smith, no run nice outswinger outside the off stump, Smith lets it go"
100,"Southee to Smith, no run fullish outside off, driven straight to short cover and that's drinks"
101,"Southee to Haddin, no run makes room to clear the off side but gets an edge back to the bowler"
102,"Southee to Haddin, no run back of length delivery towards the off stump, Haddin makes some room and defends on the off side"
103,"Southee to Haddin, 1 wide bouncer towards the bats batsman now, this one goes over his bat and head as he tries to pull and it's called a wide"
104,"Southee to Haddin, no run falls short of mid off! Haddin wants to make use of the Powerplay, he makes room, connects, but chips it towards mid off"
105,"Southee to Haddin, 2 runs short offcutter towards middle and leg is pulled to the leg side for two"
106,"Southee to Haddin, 1 run exposes his stumps and drives the attempted yorker down to long on for one"
107,"Southee to Cummins, no run leans forward a bit and defends the ball solidly on the off side"
108,"Milne to Haddin, no run 143kmh, makes room to drive on the off side, misses the half-volley just outside off"
109,"Milne to Haddin, no run pretty full on the off stump, Haddin defends it back to the bowler"
110,"Milne to Haddin, no run 150kmh, attempted yorker is a full toss on off, Haddin steers it to point"
111,"Milne to Haddin, 1 run low full toss on middle stump now, Haddin makes room to push it to mid off. The fielder throws it to the keeper but the ball lands on the edge of the pitch and deflects away towards fine leg for an overthrow"
112,"Milne to Cummins, no run 149kmh, length delivery outside off, swing and a miss from Cummins"
113,"Milne to Cummins, no run 150kmh, really low full toss on off, blocked into the covers by Cummins"
114,"Vettori to Clarke, no run bit too short outside off, pulled straight to short midwicket"
115,"Vettori to Clarke, 1 run goes back this time to work the ball from middle to leg side for one"
116,"Vettori to Smith, OUT caught behind, one more for Vettori! It was a bit flatter outside off, Smith pushed at it towards the off side and the ball went straight into Ronchi's gloves after a thick outside edge"
117,"Vettori to Maxwell, 1 run length delivery from middle and leg pushed down to long on"
118,"Vettori to Clarke, no run good length delivery just outside off, pushed to short midwicket"
119,"Vettori to Clarke, no run tight line on the off stump, Clarke defends it back carefully"
120,"Boult to Maxwell, no run yorker on the middle stump for Maxwell, it was swinging in as he dug it out on the off side"
121,"Boult to Maxwell, OUT he's chopped it on, Australia crumbling here! The ball was angling away from Maxwell from outside the off stump, he looked to force it through the off side without any footwork and get an edge to disturb his stumps"
122,"Boult to Marsh, no run full delivery around off, pushed on the leg side"
123,"Boult to Marsh, 1 wide goes down the leg side this time for a wide"
124,"Boult to Marsh, OUT one more, what's going on?! Marsh also drags it on and goes for a duck! This back of length delivery was seaming away from the batsman, he went to the back foot to defend on the off side but played the wrong line and got an edge onto his stumps. The crowd is roaring!"
125,"Boult to Haddin, no run length delivery just outside off, he blocks it back"
126,"Boult to Haddin, no run attempted yorker is blocked back to the bowler"
127,"Southee to Haddin, FOUR runs makes room for the short of length delivery and cuts it over short third man for four. Clever batting from Haddin"
128,"Southee to Haddin, no run exposes his stumps again and guides the length delivery to short third man along the ground"
129,"Southee to Haddin, 2 runs swats the short ball on the off side and just manages to clear backward point for two more runs"
130,"Southee to Haddin, 1 run slogs the full delivery on the leg side by making some room but mistimes it down to long on"
131,"Southee to Cummins, no run back of length on the off stump, defends it back to the bowler"
132,"Southee to Cummins, no run full on the pads, runs it down to fine leg with the angle for one"
133,"Milne to Haddin, no run backs away and steers the low full toss to point"
134,"Milne to Haddin, no run full on the pads, Haddin flicks it away to the leg side in the deep but says no for the single"
135,"Milne to Haddin, no run 147kmh, short ball angled in, Haddin makes room to scoop it over third man but misses"
136,"Milne to Haddin, no run makes a bit of room again and drives the full ball into the covers"
137,"Milne to Haddin, no run 146kmh, full toss on leg stump, pushed to midwicket for a single but there isn't time for one"
138,"Milne to Haddin, FOUR runs another full toss, this time Haddin finds the gap and gets four! Made room yet again and steered this one past point towards the boundary. Guptill ran from third man and put in a dive but touched the boundary when he stopped the ball"
139,"Vettori to Clarke, no run outside off on length and he pushes it back to the bowler"
140,"Vettori to Clarke, 1 run goes back in the crease to turn the ball to leg from middle stumps"
141,"Vettori to Haddin, no run on the back foot and works it to midwicket from middle and leg"
142,"Vettori to Haddin, no run leans forward this time to push the ball down towards mid off"
143,"Vettori to Haddin, FOUR runs goes back again and runs this one with the angle fine down the leg side for four to bring up the 100"
144,"Vettori to Haddin, 1 run fullish outside off, driven down for one to long off"
145,"Boult to Haddin, 1 leg bye angled in from short of length, helped towards fine leg for one"
146,"Boult to Clarke, no run just around the off stump, bit back of length and Clarke hops back to defend it back"
147,"Boult to Clarke, no run wide outside the off stump and swings it away further, left alone"
148,"Boult to Clarke, no run length delivery angling in little bit, left alone again"
149,"Boult to Clarke, no run closer to the off stump, Clarke covers his stumps and defends it back"
150,"Boult to Clarke, OUT oh my, Clarke has given it away, Boult gets his third! He gave Clarke room on the off side, Clarke swung his arms uppishly and gave a straightforward catch to Williamson at short cover"
151,"Southee to Cummins, FOUR runs"
152,"Southee to Cummins, no run leaves the length delivery alone outside the off stump"
153,"Southee to Cummins, no run another one well outside off, another one left alone"
154,"Southee to Cummins, no run sends in a bouncer this time by angling it in, Cummins drops his hands and sways his head out of the line"
155,"Southee to Cummins, no run low full toss on off and it's driven down straight to mid off"
156,"Southee to Cummins, no run bouncer to end the over too, Cummins leaves it again and that's drinks"
