,Data
0,"Bhuvneshwar to Carey, 1 run good length, slanted across, caught in two minds as to whether leave or play and ends up knocking it a tad inadvertently to third man"
1,"Bhuvneshwar to Finch, no run just short of a good length, pitching outside off and seaming away, left alone"
2,"Bhuvneshwar to Finch, no run seams away off a length from outside off, left alone"
3,"Bhuvneshwar to Finch, no run misjudgment from Finch! Shoulders arms to a short of a length delivery that causes a puff of dust to go up and cuts in super sharply to hit Finch's pad. Extra bounce saves him"
4,"Bhuvneshwar to Finch, no run straight lines outside off, left alone"
5,"Bhuvneshwar to Finch, no run Finch nicks but falls short of Rohit at first slip. Gets a tad squared up as he defends this length ball, subtle movements are causing trouble.They're magnified when you're out of form"
6,"Shami to Carey, no run length ball outside off, defended"
7,"Shami to Carey, no run good length, angled across off, punchily blocked towards point"
8,"Shami to Carey, FOUR runs shortish, cuts away farther away from him, drags a pull from well outside his reach and sends it through midwicket. Easily gets on top of the bounce because of the gentle pace"
9,"Shami to Carey, no run Jadeja has a shy at the stumps and misses! Carey is squared up as he closes the face and gets a leading edge towards point. Finch takes off for a single and is sent back. Boy is he struggling on all fronts"
10,"Shami to Carey, no run throws his hands at a wide fuller ball and misses"
11,"Shami to Carey, no run late seam away from a length just outside off, left alone"
12,"Bhuvneshwar to Finch, 3 runs walks a step or two forward and flicks through midwicket"
13,"Bhuvneshwar to Carey, no run short of a length, tries to tuck it away but gets tucked up and wears it on the hips"
14,"Bhuvneshwar to Carey, no run back of a length, tucked off the hips to square leg"
15,"Bhuvneshwar to Carey, no run sticks the bat out a tad away from the body and the ball angles in to go to midwicket off the inside edge"
16,"Bhuvneshwar to Carey, OUT gone, Carey's nicked off to second slip Some inconsistent bounce playing on the minds of the batsmen here. Beautiful bowling by Bhuvi as well. Short of good length, kicks up a little more than he may have anticipated, and it straightens just enough to shave the outside edge. This time, because of the bounce, it carries to Kohli. Even so, he had to get down full tilt to hold onto it"
17,"Bhuvneshwar to Khawaja, no run shuffles across to a length ball and keeps it out down the pitch"
18,"Shami to Finch, 1 run full, swinging in, rolls off a thick inside edge to fine leg"
19,"Shami to Khawaja, no run short of a length, nips away late, Khawaja shoulders arms"
20,"Shami to Khawaja, no run angled across sharply and jags further away after landing, Khawaja jabs hard at it and gets beaten"
21,"Shami to Khawaja, no run short of a length, moves away, Khawaja flashes at it and gets beaten again"
22,"Shami to Khawaja, no run back of a length outside off, this time he defends off the middle of the bat into the off side"
23,"Shami to Khawaja, no run movement off the deck again, hangs back and pokes at it and the ball goes past the outside edge"
24,"Bhuvneshwar to Finch, no run good length, cuts in towards off, presses forward and defends down the ground"
25,"Bhuvneshwar to Finch, no run another big stride forward as he defends"
26,"Bhuvneshwar to Finch, 2 runs fully forward as he plays late through backward point"
27,"Bhuvneshwar to Finch, no run short of length, angled in, tucked off the pads to midwicket"
28,"Bhuvneshwar to Finch, no run full, a set of stumps outside off, left alone"
29,"Bhuvneshwar to Finch, no run short of a length outside off, moves slightly back and defends to short cover"
30,"Shami to Khawaja, no run back of a length, angled across, stabbed to point"
31,"Shami to Khawaja, no run variable bounce again, Khawaja looks to pull this back of a length delivery but it keeps low and sneaks under the bat before thudding into the left thigh"
32,"Shami to Khawaja, FOUR runs short, too much width this time, arches back to free those arms and slaps it through point"
33,"Shami to Khawaja, no run just fuller of a good length, late movement towards off, Khawaja covers for it and defends down the ground"
34,"Shami to Khawaja, no run short, wide, cracked off the backfoot to point"
