,Data
0,"Styris to Clarke, no run leans forward to defend"
1,"Styris to Clarke, 1 run on the middle and off, driven to long on"
2,"Styris to Hayden, no run slower, outside the off stump, Hayden tries to carve it through the off side but misses"
3,"Styris to Hayden, 1 run That's it! He reaches his 10th ODI hundred with a drive to long on. Arms held aloft, Clarke rushes to hug him, players are up in the balcony, the crowd cheer, flags are being waved. This is the 100th ton in the history of World Cups. Well done Haydos."
4,"Styris to Clarke, no run"
5,"Styris to Clarke, no run leans forward, tickles a delivery on the middle and leg past square-leg. Time for drinks"
6,"Vettori to Hayden, 1 run on the middle and off, driven to long on"
7,"Vettori to Clarke, 1 run another single with a drive to long on"
8,"Vettori to Hayden, 1 run"
9,"Vettori to Clarke, 1 run short of length, arm-ball, outside off stump, punched to deep point for a single"
10,"Vettori to Hayden, 1 run fuller, on the off stump line, Hayden shuffles across, gets close to the line, drives to long on"
11,"Vettori to Clarke, 1 run from round the stumps, drifts in on the middle, straightens, Clarke waits, wrists it to square-leg"
12,"Styris to Clarke, 1 wide slips down the leg side."
13,"Styris to Clarke, no run Clarke threatens to back away, then gets back in line, Styris is unfazed, bowls full and straight, tucked to square-leg"
14,"Styris to Clarke, no run on the off and middle, offcutter, pushed back to the bowler"
15,"Styris to Clarke, 1 run fuller, on the middle, flicked away to right of midwicket where Taylor dives to make the stop"
16,"Styris to Hayden, OUT Styris takes a beauty, running back towards the 30-yard circle. Off cutter, on the middle and Hayden has a swing across the line and ends up lobbing it high towards long on. The fielder rushes forward from the deep, Styris runs back ,gravity pulls the ball down and S"
17,"Styris to Clarke, 1 run on the middle stump line, driven to long on"
18,"Styris to Hussey, no run full and outside off stump, right up there, jabbed away to cover"
19,"Franklin to Clarke, no run on the off and middle, pushed back to the bowler."
20,"Franklin to Clarke, no run"
21,"Franklin to Clarke, no run full and outside off, driven straight to extra cover"
22,"Franklin to Clarke, no run Clarke backs away, Franklin, from round the stumps, hurls it fuller and on the middle and leg, sliced away to point"
23,"Franklin to Clarke, 1 run again he backs away and carves a low full toss outside off past point"
24,"Franklin to Hussey, 2 runs fullish, flicked to square-leg"
25,"Styris to Clarke, no run driven to mid-on"
26,"Styris to Clarke, no run backs away, Styris follows him, cramps him for room and the ball beats the loose drive and rushes between Clarke and the leg stump"
27,"Styris to Clarke, FOUR runs fuller, on the legs, Clarke leans across, flicks it fine. Very fine."
28,"Styris to Clarke, no run full, on a length, on middle and leg, driven to mid-on"
29,"Styris to Clarke, 1 run on the off stump line, full in length, driven to long on"
30,"Styris to Hussey, no run pushed across Hussey who tries to cut but misses."
31,"Franklin to Clarke, FOUR runs attempts a yorker, ends up as a low full-toss, outside off stump and Clarke drives to left of mid-off. Easy pickings."
32,"Franklin to Clarke, FOUR runs Another boundary. Overpitched on the leg and middle, not the line to bowl and Clarke swings it to deep midwicket"
33,"Franklin to Clarke, OUT OMG! Clarke shoulders arms and hey presto! the middle stump has gone for a walk. Unbelievable! Comedy of errors. It was a slower one, on the middle, Clarke backed away, raised his bat and then was indecisive what to with the delivery. He just let the bat hang high"
34,"Franklin to Symonds, no run on the middle stump line, wirsted to midwicket where Taylor does the job"
35,"Franklin to Symonds, 1 wide loses control at the point of delivery, sends a full toss way outside off stump, Symonds can't reach it and McCullum, standing up to the stumps, gathers"
36,"Franklin to Symonds, no run length-delivery, well outside the off stump, Hayden has a flash and a miss"
37,"Franklin to Symonds, FOUR runs again well outside the off stump, as if he is giving him some batting practice at clearing rubbish, and Symonds thrashes it to cover boundary."
38,"Styris to Hussey, 1 run slower one, off cutter, outside off stump, Hussey fetches it from there and pulls it to deep midwicket"
39,"Styris to Symonds, no run full and on the off stump, straighter one, driven to midwicket"
40,"Styris to Symonds, 1 run on the middle and leg, tickled behind square-leg"
41,"Styris to Hussey, no run short and outside off, cut to point. Styris is bowling a slew of off cutters"
42,"Styris to Hussey, FOUR runs another off cutter, slightly short in length and outside off stump and Hussey rocks back, pulls it from there to deep midwicket boundary. It was too short and pleaded to be hit. Hussey did the mercy killing."
43,"Styris to Hussey, no run overpitched, outside off stump, driven to cover"
44,"Franklin to Symonds, no run on the off stump line, dabbed to point on the front foot"
45,"Franklin to Symonds, 1 run back of length, comes in from the off stump line, Symonds stays beside the line, opens the bat-face, late cuts it to third man region"
46,"Franklin to Hussey, 1 run slower one, off break, Hussey waits, pats it to backward point region"
47,"Franklin to Symonds, 1 run length-delivery outside off, swatted to long off"
48,"Franklin to Hussey, no run full in length, outside off stump, comes in a touch, driven to cover."
49,"Franklin to Hussey, no run slow off cutter, back of length, outside off stump, cut straight to point"
50,"Styris to Symonds, 1 run fullish, outside off stump, drilled to long off"
51,"Styris to Hussey, 1 run full, straight, on the middle stump line, Hussey waits, tickles it to short third man region"
52,"Styris to Symonds, no run slower one, dips on the middle stump line, pushed back to the bowler."
53,"Styris to Symonds, 1 run length-delivery, angling in towards leg stump, turned to square-leg. McMillan fires in a direct hit at the non-striker's end, and Aussies take the overthrow on the rebound. 250 up."
54,"Styris to Hussey, 1 run full-pitched, another slow off cutter, Hussey eases it to long off"
55,"Styris to Symonds, no run on the middle and leg, punched to midwicket"
56,"Vettori to Hussey, 1 run full and on the off stump line and once again Hussey drives to long off. Can we pick some other place please?!"
57,"Vettori to Symonds, no run arm-ball, on the off stump line, Symonds waits and waits, the ball appears to be crashing on the off stump when he condescends to bring the bat down, chops to backward point"
58,"Vettori to Symonds, 1 run on the middle stump line, defleced past midwicket"
59,"Vettori to Hussey, 1 run bit of air, bit of loop, outside off stump, and yep, he drives to long off."
60,"Vettori to Symonds, 1 run arm-ball, just outside the off stump, Symonds goes back and across, late-cuts it to short third man region. It hit him high on the bat and hence he doesn't get much power behind it."
