,Data
0,"Chigumbura to Gilchrist, 2 runs decent start from Chigumbura, a full length on middle and off, and Gilchrist flicks off his pads to start the proceedings"
1,"Chigumbura to Gilchrist, 1 run tucked up again, and nudged away behind square. Good tight line so far. No room to free the arms... yet"
2,"Chigumbura to Hayden, FOUR runs oops, there was a bit more room there. Short and outside off, and Hayden's first shot is a brutal pull in front of square. The Aussies are off"
3,"Chigumbura to Hayden, OUT would you believe it! Outside off, nipping away off the seam in the damp conditions, and Hayden's massive swipe finds only the thinnest of edges! Jubilation for the Zimbabweans, and the first wicket is down"
4,"Chigumbura to Ponting, no run a sighter outside off stump, and an expansive leave from Ponting."
5,"Chigumbura to Ponting, no run a tidy line to finish, and Chigumbura takes his sweater at the end of a nerve-settling and successful over. First blood to Zimbabwe"
6,"Brent to Gilchrist, no run good wheels, Brenty, good wheels. No great pace, but accurate enough"
7,"Brent to Gilchrist, 1 wide too far down the leg-side this time"
8,"Brent to Gilchrist, 1 wide even further down leg-side. And swinging as well. That's useful, but only if you can control it ..."
9,"Brent to Gilchrist, 1 run tucked up on the legs and Ponting calls Gilchrist through for a scampered single."
10,"Brent to Ponting, no run drawn forward in a circumspect defensive stroke. Very respectful play so far from Australia"
11,"Brent to Ponting, no run whipped off the legs, but fielded with a juggle at short midwicket."
12,"Brent to Ponting, 1 run floated onto leg stump and on-driven, but midwicket fields well with a dive. Australia, dare one say it, are being a little tied down for the moment"
13,"Chigumbura to Ponting, 1 run driven down to deep backward point"
14,"Chigumbura to Gilchrist, OUT short and Gilchrist goes for the pull ... but miscues it horribly! The ball spirals into the dank Newlands heavens and midwicket pouches a comfortable catch! Australia, in their first competitive match since the World Cup final, are in something resembling disarray ..."
15,"Chigumbura to Ponting, no run defended watchfully. What must the skipper be thinking right now?"
16,"Chigumbura to Ponting, no run defended again"
17,"Chigumbura to Ponting, no run half-driven to cover. No room for manoeuvre"
18,"Chigumbura to Ponting, 2 runs a massive biff this time from Ponting, but that shot just plugs in the turf at cow corner like a Tiger Woods approach shot. Tough times for the Aussies"
19,"Brent to Symonds, 1 run dabbed down to third man for a welcome single"
20,"Brent to Ponting, no run pushed onto the back foot and driven to point. No way through there"
21,"Brent to Ponting, FOUR runs Ponting's had enough of beating around the bush. He uses his feet gloriously and picks the gap in the covers with expert timing."
22,"Brent to Ponting, no run lovely outswinger to follow up, and a neat take from Taylor"
23,"Brent to Ponting, no run stifled appeal as Ponting shuffles across his stumps, but nothing doing from the umpire. Testing times ..."
24,"Brent to Ponting, OUT well well well well ... Ponting uses his feet again, and this time he perishes! A wild swing finds only an outside edge, and after an eternity third man steadies himself to claim a massive wicket! Australia, officially, are in strife."
25,"Mupariwa to Hussey, no run a change of bowling, and a watchful start from Hussey who left well alone outside off stump"
26,"Mupariwa to Hussey, 1 wide width again, but left alone again"
27,"Mupariwa to Hussey, no run tempting line, just begging to be biffed. But Hussey isn't going to fall for it just yet. He's got a job to do here ..."
28,"Mupariwa to Hussey, no run tighter to the stumps, but Hussey can't work it away square. No pace to utilise at all"
29,"Mupariwa to Hussey, no run driven, but uneasily, out to cover"
30,"Mupariwa to Hussey, no run wide of off stump, and this time it's called, a little harshly, if you ask me. Meanwhile, there's massive support for Zimbabwe in the stands. Everyone loves an underdog"
31,"Mupariwa to Hussey, 1 run"
32,"Brent to Hussey, no run excellent line and length from Brent, jagging back into Hussey just enough to hurry his defensive stroke"
33,"Brent to Hussey, no run going across the batsman this time, and nibbled at uneasily. Hussey is looking extremely rusty in the rain"
34,"Brent to Hussey, no run lovely delivery, swinging across the left-hander's bows and through to the keeper"
35,"Brent to Hussey, 1 run on the pads and clipped away. A welcome run for the beleaguered Aussies"
36,"Brent to Symonds, no run zips through to the keeper as Symonds is caught flat-footed in an attempted drive"
37,"Brent to Symonds, no run a stifled appeal as Brent zips one off the seam and into Symonds' pads. Not out is the verdict, but that's another precious dot ball"
38,"Mupariwa to Hussey, 1 run pushed into the covers and another jogged single, Hussey simply hasn't found his timing yet and Taibu cleans up"
39,"Mupariwa to Symonds, 2 runs forced behind point with a slashing drive, but there's not enough pace on the ball to beat the field"
40,"Mupariwa to Symonds, no run right on the spot again and defended back down the track with the most vertical bat of the tournament so far"
41,"Mupariwa to Symonds, 1 run slashed urgently out to the cover sweeper. Runs are coming at a trickle"
42,"Mupariwa to Hussey, 1 run good areas once again, as the cliche goes. But areas are what it's all about for Zimbabwe"
43,"Mupariwa to Symonds, 1 wide bad areas that time, swinging away down the leg-side"
44,"Mupariwa to Symonds, FOUR runs a fraction too short this time, and Symonds leaps into the offering like a starving man - and given his size you can imagine how hungry he must be. The ball beats third man for a rare boundary."
45,"Chibhabha to Hussey, no run Chibhabha replaces the excellent Brent, and starts accurately enough"
46,"Chibhabha to Hussey, no run"
47,"Chibhabha to Hussey, no run right on the spot again. No pace to work with at all"
48,"Chibhabha to Hussey, 1 run defended with an angled bat, and Hussey hustles through for an urgent single"
49,"Chibhabha to Symonds, no run fuller length but excellent line. Symonds tries to bludgeon his way through the covers, but can't get it away"
50,"Chibhabha to Symonds, FOUR runs another boundary for Symonds, but it's not his most elegant - a sliced drive down to third man, which trickles across the rope as two fielders slide into each other. It's sluggish batting and a sluggish outfield, and it's suiting Zimbabwe just fine"
51,"Utseya to Hussey, FOUR runs lovely drive, and a confident strike as Hussey makes room and places his lofted drive superbly"
52,"Utseya to Hussey, no run a squeaked appeal as Hussey cramps himself for room"
53,"Utseya to Hussey, 1 run flicked out to the midwicket sweeper"
54,"Utseya to Symonds, 1 run a low full-toss, but Symonds doesn't capitalise, driving firmly but carefully down to long-on"
55,"Utseya to Hussey, 2 runs nudged out to midwicket for another single"
56,"Utseya to Hussey, 3 runs nearly a terrible mix-up as Symonds hurtles back for a chancy third bye. Hussey attempted a reverse-sweep, nutmegged the keeper, but picked up some vital runs nonetheless"
57,"Chibhabha to Hussey, no run Hussey dances down the track but is forced to adjust into a late defensive prod as Chibhabha hits the seam"
58,"Chibhabha to Hussey, OUT Sibanda pulls off a brilliant direct hit from point, and Hussey is on his way! That's a massive wicket. He dropped the ball into the off side and set off for the run, but was sent back as Sibanda swooped and hit with one stump to aim at"
