,Data
0,5.30pm South Africa won the toss and will bat
1,"Coulter-Nile to de Kock, 1 wide pushed across full and wide outside off, and he doesn't get away with a loosener"
2,"Coulter-Nile to de Kock, no run back of a length at off stump, defended to backward point"
3,"Coulter-Nile to de Kock, FOUR runs gets too straight this time and de Kock whips him away off leg stump down to fine leg"
4,"Coulter-Nile to de Kock, no run adjust his line back outside off, short of a length, pushed towards point where there's a fumble by Zampa but it isn't costly"
5,"Coulter-Nile to de Kock, 1 run pitches this fuller, he comes onto the front foot and drives to the right of mid-off"
6,"Coulter-Nile to Amla, 1 run back of a length, Amla opens the face and runs down to third man"
7,"Coulter-Nile to de Kock, FOUR runs full at off stump, a lovely flick by de Kock as his bottom hand comes into play and sends this zipping through midwicket"
8,"Hastings to Amla, no run short of a length at off stump, punched to cover"
9,"Hastings to Amla, no run fuller outside off, Amla walks right across his crease and pushes to the covers"
10,"Hastings to Amla, no run tight to off stump, full, driven to cover"
11,"Hastings to Amla, 2 runs banged in short, Amla swivels on a powerful pull and sends the ball behind square...Khawaja makes good ground a long leg"
12,"Hastings to Amla, 1 run back on a full length, straight at the stumps, Amla angles it into backward point"
13,"Hastings to de Kock, no run Hastings is a touch lucky here as he offers de Kock a hint of width, he cuts but finds short third man...there was no one behind him"
14,"Watson to Amla, FOUR runs starts too straight, Amla shuffles across the crease and then flicks it away fine"
15,"Watson to Amla, SIX runs that's fantastic from Amla...short of a length this time and Amla has plenty of time to get underneath the delivery and pull it upwards off his hip. Clears deep square by a long way"
16,"Watson to Amla, 1 run fuller, still on the pads, flipped to long leg"
17,"Watson to de Kock, FOUR runs uses his feet, comes down on a line outside leg stump and then flicks this very powerfully wide of mid-on"
18,"Watson to de Kock, 1 run bangs this one in short around leg stump, pulled to deep square"
19,"Watson to Amla, 2 runs full and straight, a strong flick through the leg side by Amla this time and it's wide of deep square"
20,"Hastings to de Kock, no run nearly chops on, a short of a length delivery which he defends quite late and the ball bounces back towards the stumps...actually goes over middle and leg"
21,"Hastings to de Kock, FOUR runs he has a huge mow at this delivery which is fuller, aiming over the leg side but it skews off a thick outside edge over short third man"
22,"Hastings to de Kock, SIX runs that's a lovely bit of cricket, he walks across his stumps and picks up a short-of-a-length delivery with a flick over short fine leg"
23,"Hastings to de Kock, 1 run full and wide outside off, driven to deep cover"
24,"Hastings to Amla, FOUR runs ah, that's a lovely bit of delicate touch from Amla...so classy...it's a length ball at off stump and he plays it so late, opens the face and guides it wide of the keeper"
25,"Hastings to Amla, no run goes for the yorker, spears in a low full toss, pushed into the covers"
26,"Coulter-Nile to de Kock, OUT and strikes! Sliced down to third man...full outside off, de Kock swinging with all his power behind it, the face opens and the ball flies in the air towards Hastings at third man who takes a smart, low catch"
27,"Coulter-Nile to Amla, FOUR runs straight after the good catch, there's a misfield from Hastings at short fine leg. Amla pulled a short ball and Hastings dived over the top of it"
28,"Coulter-Nile to Amla, no run pushed into the covers"
29,"Coulter-Nile to Amla, SIX runs gets a long way underneath and it carries for six! Moving across his stumps again, going to help it around the corner and it takes a big top edge which has the distance to clear third man"
