,Data
0,6.50pm Sri Lanka win the toss and bowl for the third time this series.
1,"Sanjaya to Dunk, SIX runs clears Siriwardana at wide long-on. Full on off, goes across the line and swings the ball over the leaping fielder. Tonked for six"
2,"Sanjaya to Dunk, no run Sanjaya replies with a leg-stump yorker, dug back to the bowler"
3,"Sanjaya to Dunk, no run a really full delivery outside off, jabbing drive to cover"
4,"Sanjaya to Dunk, no run wide yorker, Dunk can't slice it away square through the off side. Beaten"
5,"Sanjaya to Dunk, no run Sanjaya drops a return catch, this wasn't as straightforward as the one in the first over . Sanjaya clutches his left hand in pain. He grimaces. Full on the stumps, drilled back to the bowler. Sanjaya is okay to resume"
6,"Sanjaya to Dunk, 1 run full-toss on middle, hit to long-on"
7,"Shanaka to Dunk, 1 run floated on off stump, driven firmly to long-off"
8,"Shanaka to Klinger, 2 runs overpitched and outside off, carved out to backward point"
9,"Shanaka to Klinger, 2 runs full on the stumps, whipped away through midwicket"
10,"Shanaka to Klinger, no run legcutter outside off, grips in the surface. Klinger slashes early and is beaten by the lack of pace"
11,"Shanaka to Klinger, 1 run yorker just outside off, jammed out through extra cover"
12,"Shanaka to Dunk, 1 run full-toss, dragged to the left of the bowler, who makes a half-stop"
13,"Sanjaya to Dunk, 1 run low full-toss outside off, shovelled with the bottom hand to long-on"
14,"Sanjaya to Klinger, 1 leg bye full and fired into the leg stump, grazes the pad and rolls away to short fine leg"
15,"Sanjaya to Dunk, FOUR runs Dunk pre-meditates, shuffles across off, gets inside the line of a low full-toss on middle and scoops it right over Mendis' head"
16,"Sanjaya to Dunk, SIX runs finesse followed by violence. Sanjaya errs in length again. Too full on middle, Dunk smites it over midwicket for back-to-back boundaries"
17,"Sanjaya to Dunk, 1 run full and wide outside off, scythed away to sweeper cover"
18,"Sanjaya to Klinger, FOUR runs low full-toss, on middle, angled in, Klinger uses the angle and flicks it away to the midwicket boundary"
19,"Shanaka to Dunk, no run low full-toss on middle, swished to cover"
20,"Shanaka to Dunk, FOUR runs what was that? Superb improvisation. Dunk shuffles across off, he attempted to scoop it fine on the leg side initially. Then changes his mind and scoops it fine of short third man as this was pushed wide outside off. Quick hands"
21,"Shanaka to Dunk, no run dragged short and outside off, Dunk eyes up the leg side and mis-times it back to the bowler"
22,"Shanaka to Dunk, no run wide yorker, beats Dunk. He reaches out, slashes and misses"
23,"Shanaka to Dunk, no run off-stump yorker, squirted back to the bowler"
24,"Shanaka to Dunk, OUT Prasanna clings onto the catch, running back from point. Lands awkwardly on his elbow. Good length ball on off stump, Dunk looks to slog over midwicket. He ends up skewing it in the air. Prasanna hangs onto a swirling catch"
25,"Malinga to Klinger, (no ball) Malinga apologies, Klinger acknowledges it. Full-toss above the waist, the line is outside leg, the batsman ducks under it. That probably slipped out of Malinga's hands"
26,"Malinga to Klinger, 1 run nails a yorker on middle, dug through midwicket"
27,"Malinga to Head, SIX runs very full on the pads, Head picks the ball up and deposits it over square leg. Wonderful wristwork"
28,"Malinga to Head, SIX runs This is even better from Head. Malinga can't get the yorker right again. Full on off stump, right in the slot, launched over Siriwardana at long-on"
29,"Malinga to Head, 2 runs full-toss outside off, slapped to wide long-off for two"
30,"Malinga to Head, FOUR runs Malinga continues to err in length. Pitched up and outside off, Head lofts it nice and clean. Hit through the line straight of long-off"
31,"Malinga to Head, no run finally the yorker the line is on off, inside-edged onto the pad. The ball rolls away square on the leg side. 20 runs off the over"
32,"Kulasekara to Klinger, 1 run slower cutter outside off, 100.8ks, drags a slog-sweep to deep midwicket"
33,"Kulasekara to Head, no run yorker wide outside off, forced back to Kulasekara"
34,"Kulasekara to Head, 2 runs full and wide outside off, Head drops to one knee and crunches it over cover. Udana tears across from sweeper cover and flicks the ball into the field of play"
35,"Kulasekara to Head, 1 run full and outside off, sliced in the air, does not carry to long-off"
36,"Kulasekara to Klinger, FOUR runs full on middle and leg, whipped away fiercely between deep midwicket and deep square leg. Klinger gives it a proper thump"
37,"Kulasekara to Klinger, 2 runs Klinger gallops down the track, takes a full-toss and belts it to long-off"
38,"Kulasekara to Head, 1 run back of a length and outside off, tapped to cover"
39,"Kulasekara to Klinger, 1 run slower full ball outside off, bunted down the ground"
40,"Kulasekara to Head, 1 run off-stump length ball, Head hangs back and works it to deep midwicket"
41,"Kulasekara to Klinger, 2 runs very full on off, shovelled away to wide long-on"
42,"Kulasekara to Klinger, 1 run slower ball outside off, short, chopped to short third man"
43,"Kulasekara to Head, 1 run full on off, stroked to long-on"
44,"Shanaka to Head, 1 run"
45,"Shanaka to Klinger, 1 run low full-toss on off stump, whipped away to deep square leg"
46,"Shanaka to Head, 1 run really full on off stump, driven through the line to long-off for one"
47,"Shanaka to Klinger, FOUR runs Klinger scores his maiden international fifty. What a moment for him. Slower short ball outside off, he waits on the back foot, and powerfully swats it away to the left of deep midwicket"
48,"Shanaka to Klinger, 3 runs very full on the pads, fine leg is inside the circle, glanced away fine of the fielder. He dives and makes a half-save"
49,"Shanaka to Head, 2 runs Head jumps out of the crease and flicks a couple to deep midwicket. Good running, they get two"
50,"Malinga to Head, 2 runs full-toss outside off, thrashed away to long-off, where Kapu fumbles. Easy two in the end for the hosts"
51,"Malinga to Head, OUT Kapu overruns the ball but hangs onto the catch at long-off. Low full-toss outside off, Head loses his shape, swings and holes out in the deep"
52,"Malinga to Klinger, 1 run, OUT thigh-high full-toss, Klinger swats it away through square leg. Klinger commits to two. Shanka swoops down on the ball from deep square leg and throws it flat to Kusal Mendis. He collects it and swipes the bails off to catch Klinger short on the second. He raises his bat and walks back for 62"
53,"Malinga to Turner, 1 run full-toss on leg stump, whipped to deep midwicket"
54,"Malinga to Henriques, 1 run The batsman comes down the track, this is full and wide outside off, cracked to Udana at extra cover. They take off for the single. Udana can't throw the stumps down at the non-striker's end. Malinga did not back up"
55,"Malinga to Turner, OUT Kapu pulls off a cracking catch now. He dashes in from long-on, dives forward, and takes it. Turner backs away outside leg. Malinga chases him and cramps him with a full-toss which is dragged away to Kapu. He did well to attack the catch"
56,"Shanaka to Faulkner, 2 runs low full-toss on off, flat-batted to long-on"
57,"Shanaka to Faulkner, OUT Australia have lost four wickets for five runs. Third catch for Kapu in the deep. Faulkner can't get hold of this full-toss outside off. He miscues it to long-on"
58,"Shanaka to Henriques, 1 leg bye full and sliding into the pads, misses the flick, they sneak a legbye"
59,"Shanaka to Paine, no run slower full ball wide outside off, Paine, having stepped outside leg, can't connect"
60,"Shanaka to Paine, 1 run full-toss on off stump, swiped away to deep midwicket"
61,"Shanaka to Henriques, 1 run really full and wide outside off, carved away to point. Excellent final over from Shanaka"
62,"9pm So Sri Lanka need 188 to whitewash Australia. The hosts lost four wickets for five runs at the back end, but contrasting fifties from Finch, who was dropped on 0, and Klinger at the top gave Australia some cushion. We will be back in a bit for the chase."
63,9.17pm Welcome back. Turner has the new ball. Tharanga are Munaweera are SL's openers.
64,"Turner to Munaweera, no run flat and skids on outside off, chopped to cover on the back foot"
65,"Turner to Munaweera, 3 runs much slower through the air outside off, this is chopped away fine of backward point"
66,"Turner to Upul Tharanga, 1 wide angling down the leg side from around the wicket, leg-side wide. Did that brush the pad? Yep, hotspot detects it brushed the flap on its way down the leg side"
67,"Turner to Upul Tharanga, no run straight ball on off, 91.6ks, played back to the bowler"
68,"Turner to Upul Tharanga, FOUR runs tossed up on leg stump, backs away outside leg and drives it inside-out over the covers. Lovely shot"
69,"Turner to Upul Tharanga, no run"
70,"Turner to Upul Tharanga, no run pushed through quicker, slides in from around the wicket, Tharanga plays across the line and is rapped on the pad but this was heading past the leg stump"
71,"Jhye Richardson to Munaweera, SIX runs back of a length on middle, Munaweera ventures deep in the crease and biffs it over long-on for a six"
72,"Jhye Richardson to Munaweera, no run Munaweera moves outside leg, Richardson follows him with a 141ks yorker, sneaks under the legs of the batsman. Superb save from Paine"
73,"Jhye Richardson to Munaweera, SIX runs length ball angled in towards the leg stump, Munaweera sits back and smashes it over square leg for his second six in three balls"
74,"Jhye Richardson to Munaweera, FOUR runs slower full ball on middle, Munaweera swings early and ends up miscuing the ball over the bowler's head. It still goes to the boundary"
75,"Jhye Richardson to Munaweera, 1 wide really full and slanting down leg past the flick. Wide. Richardson under pressure in his second international"
76,"Jhye Richardson to Munaweera, 1 run Munaweera backs away outside leg. This is pushed wide outside off, carved in the air square of deep third man"
77,"Jhye Richardson to Upul Tharanga, 2 runs hip-high short ball outside off, Tharanga swats it on the back foot to the left of mid-on"
78,"Cummins to Munaweera, 1 run Zampa drops it at deep third man. Cummins could have had Munaweera with his first ball. Chest-high short ball just outside off. Munaweera jumps off the ground and ramps it in the air. Zampa back-pedals and loses his balance. Straight in and straight out"
79,"Cummins to Upul Tharanga, no run full and angling away past the outside edgfe at 144.4ks. Pace like fire"
80,"Cummins to Upul Tharanga, 2 runs short on the leg stump, tucks 'em up for room. Deflected fine on the leg side"
81,"Cummins to Upul Tharanga, 1 leg bye 145.4ks missile on the leg stump, Tharanga is beaten for pace. The ball grazes the thigh and rolls to the leg side"
82,"Cummins to Munaweera, 1 wide short and angled in, Cummins hits the deck hard and gets it to bounce big. Left alone. Too high and that's a wide"
83,"Cummins to Munaweera, no run 145.5ks, full on middle, held up in the pitch a bit. Munaweera nearly chips a catch to mid-on"
84,"Cummins to Munaweera, 2 runs very full on the leg stump, 145.9ks, shovelled away past midwicket"
85,"Faulkner to Upul Tharanga, no run starts off with a yorker outside off, squirted out towards point with an angled bat"
86,"Faulkner to Upul Tharanga, SIX runs pretty full on off stump, that's just a chip from Tharanga. Mid-on is inside the circle. It disappears over the boundary. That's some shot"
87,"Faulkner to Upul Tharanga, no run middle-stump yorker, excellent response from Faulkner, dug out"
88,"Faulkner to Munaweera, 1 run hip-high short ball on the leg stump, swatted straight to short fine leg. Faulkner gets away"
89,"Faulkner to Mendis, 1 run good length and angling away outside off, sliced down to third man"
90,"Turner to Mendis, no run non-turning offbreak on off, played to the right of the bowler"
91,"Turner to Mendis, 1 run shortish on middle, pulled away to deep square leg"
92,"Turner to Munaweera, no run fired on middle, short again, backs away and flashes to cover"
93,"Turner to Munaweera, 1 run good length on middle, ventures across off and scoops it over the keeper's head"
94,"Turner to Mendis, FOUR runs pitched up and outside off, Mendis drops to one knee and slogs it over the bowler's head. He aimed midwicket and it went straight"
95,"Turner to Mendis, 1 run 92ks flatter and quicker on the stumps, hit into the vacant spaces in the leg side"
96,"Henriques to Mendis, 1 run good length and angled in on off, seam-up, tapped to midwicket"
97,"Henriques to Munaweera, no run back of a length and skids on outside off, Munaweera steps away outside leg, reaches out for the ball. Slashes and misses"
98,"Henriques to Munaweera, no run Munaweera jumps down the track and swings. The length was shorter with Henriques beating the batsman again"
99,"Henriques to Munaweera, FOUR runs hip-high short ball on the off stump, swatted away to the right of deep square leg"
100,"Henriques to Munaweera, FOUR runs 113.9ks slower ball outside off, very full, drilled away to the right of Finch at mid-off"
101,"Henriques to Munaweera, 1 run short of a length and outside off, chopped to point"
102,"Zampa to Munaweera, no run quick fizzer on off, mis-hit back to the bowler"
103,"Zampa to Munaweera, no run full and hurries on to beat the inside edge and rap the pad"
104,"Zampa to Munaweera, no run pushed through on middle, backs away and punches to cover"
105,"Zampa to Munaweera, 1 run slider on off, chopped from there to short third man"
106,"Zampa to Mendis, FOUR runs dragged short on the off stump, goes deep in the crease and pulls over midwicket. Faulkner runs in and attacks the ball as opposed to sitting back and taking it on the bounce. The ball beats him to the boundary"
107,"Zampa to Mendis, 1 run"
108,"Jhye Richardson to Mendis, 1 run full slower ball on middle, Mendis slog-sweeps early and does not connect. The ball brushes the pad and rolls to long leg"
109,"Jhye Richardson to Munaweera, 1 run tight line on off, slower ball again, opens the face and dinks a single to point"
110,"Jhye Richardson to Munaweera, 1 run back of a length and outside off, angled out to point"
111,"Jhye Richardson to Gunaratne, no run short and outside off, 142.5ks, Asela was caught between playing and leaving. Nearly chopped this cross-seamer back onto the stumps. Paine puts in another diving save"
112,"Jhye Richardson to Gunaratne, no run full and angled in on off, jammed out to the leg side"
113,"Head to Gunaratne, 1 run skids on off, dabbed to cover"
114,"Head to Siriwardana, no run speared outside off, punched to point"
115,"Head to Siriwardana, 1 run slider on middle, chopped to cover for one"
116,"Head to Gunaratne, 3 runs full and angling across off, slashed in the air fine of backward point"
117,"Head to Siriwardana, 1 run very full on middle, Siriwardana makes room and hammers this down to long-off"
118,"Zampa to Siriwardana, no run pitches on middle and leg and rips away outside off past the outside edge. Siriwardana did not pick the googly. Beaten"
119,"Zampa to Siriwardana, 1 run"
120,"Zampa to Kapugedera, no run length ball on off, defended"
121,"Zampa to Kapugedera, 1 run looped up on off, slugged away to long-on"
