,Data
0,Toss Australia have won the toss and they will bowl first.
1,"Bracken to Peterson, 1 run bowls the slower one full and swinging away and Peterson squeezes it just wide of mid-off"
2,"Bracken to Gibbs, no run swings it in late and Gibbs taps it softly to Clarke at point"
3,"Bracken to Gibbs, no run keeps it full and when Gibbs drives to mid-off Peterson ambles out of his crease and scampers back"
4,"Bracken to Gibbs, no run bowls it full on the offstump and he pushes it inside out to cover"
5,"Bracken to Gibbs, 1 wide lands it wide down the legside and Gibbs doesn't want to chase it"
6,"Bracken to Gibbs, no run lunges onto the stroke a little too early and the ball rolls off his body, Gibbs tells his partner to stay back"
7,"Bracken to Gibbs, 1 run tip and run, well played and well run by Gibbs after tapping it softly wide of short cover"
8,"Harwood to Gibbs, FOUR runs poor start for Harwood and Gibbs obliges a half volley by getting forward and timing it sweetly past the covers, no need to chase that"
9,"Harwood to Gibbs, 2 runs he overpitches on the pads this time and Gibbs works it wide of midwicket with little effort, Warner does the chasing"
10,"Harwood to Gibbs, 5 runs there's a direct hit but it's overthrows! Gibbs defends inside out to cover and sets off for a risky single, the ball hits the stumps at the striker's end and deflects to the third man fence and there's an appeal for the run out, he's safe"
11,"Harwood to Peterson, no run almost a wicket! He swings his bat at a short ball and the ball balloons off the leading edge and falls short of backward point who dives forward in vain"
12,"Harwood to Peterson, no run"
13,"Harwood to Peterson, no run swings at another short ball and takes his hand off the bat and the ball falls well in front of mid-on this time"
14,"Bracken to Gibbs, no run fullish on the pads and worked to the on side"
15,"Bracken to Gibbs, 2 runs tries to loft through the line over mid-off but he miscues it and the ball lands short of the fielder who runs backwards, not the best-timed shot"
16,"Bracken to Gibbs, no run bowls it shorter and he fails to make proper contact with the bat"
17,"Bracken to Gibbs, SIX runs that's outta here! He gives him the charge as Bracken drops it on a good length and clubs it over deep square leg and over the chalets"
18,"Bracken to Gibbs, OUT timber! And Bracken has his revenge! He cleverly bowls the slower ball and Gibbs fails to read it as he swings early and misses, the ball clips the top of the off stump and he's got to go"
19,"Bracken to de Villiers, no run gets a full delivery yo start off with and he drives off the meat of the bat to cover"
20,"Laughlin to Peterson, no run nice start for the debutant, swings it in and it's bang on middle stump, he defends"
21,"Laughlin to Peterson, 1 run gives him a lot of width and Peterson has to reach out real far to scoop it down to third man"
22,"Laughlin to de Villiers, no run struggles with his line again as he dishes out another wide one and an attempted cut meets the toe of the bat"
23,"Laughlin to de Villiers, no run fuller and closer to the stumps and a firm drive finds mid-off"
24,"Laughlin to de Villiers, no run tries to break free by giving room but he only manages to chop it down to short cover"
25,"Laughlin to de Villiers, 1 wide well Laughlin strays so wide of the offstump that de Villiers cannot reach it"
26,"Laughlin to de Villiers, OUT doesn't take too long for Laughlin to strike, not really a wicket-taking ball, it was full and wide and waiting to be hit but de Villiers gets forward and ends up slamming it straight to White at short cover"
27,"Harwood to Peterson, 1 run taps it with soft hands and Peterson calls for the run very quickly"
28,"Harwood to Duminy, no run bangs in the bouncer and he's happy to duck and let it go"
29,"Harwood to Duminy, 1 run punches it softly to mid-off and risks the single and his life as the throw nearly takes his head off at the bowler's end, a desperate dive and he's home"
30,"Harwood to Peterson, no run tries to swing him across the line but he finds square leg"
31,"Harwood to Peterson, no run goes for a wild pull off a short ball down the leg side but he misses and there's a stifled appeal for a caught behind, funnily enough that wasn't called a wide so it must have brushed something"
32,"Harwood to Peterson, 1 run swings him towards midwicket and a misfield allows a single"
33,"Laughlin to Peterson, FOUR runs pitches it up outside off and he lofts through the line and clears mid-off"
34,"Laughlin to Peterson, 1 run drifts on the body and he clips him down to the on side"
35,"Laughlin to Duminy, 2 runs that's a nasty bouncer and he takes his eyes off the ball and the ball clips his arm and clears the keeper"
36,"Laughlin to Duminy, 1 run full outside off and pushed just wide of mid-off"
37,"Laughlin to Peterson, no run fullish on the pads and he pushes it to short midwicket"
38,"Laughlin to Peterson, 1 leg bye swings too early and fails to account for the swing as the ball clips his pads and rolls to the onside"
39,"Hopes to Peterson, no run Peterson moves a long way across his stumps to scoop it to fine leg but the execution was poor, fails to make any contact"
40,"Hopes to Peterson, 1 run makes room to crash it through the offside but he gets a thick inside edge wide of the stumps"
41,"Hopes to Duminy, no run can't quite decide what shot to play and he settles for a gentle dab towards the keeper"
42,"Hopes to Duminy, 1 run much better, tip and run to the off side and he gets off strike"
43,"Hopes to Peterson, SIX runs that's more like it! He stays at the crease, waits for the short ball to come on to him before pulling fiercely over deep midwicket and deep square"
44,"Hopes to Peterson, no run hits a good length outside off and a firm punch finds mid-off"
45,"Hussey to Duminy, no run full outside of and pushed straight to mid-off"
46,"Hussey to Duminy, 1 run that's a full toss and he pushes it down to mid-on"
47,"Hussey to Peterson, SIX runs absolutely nobody under that, he gets on his knee to a flighted delivery and slogs him dead straight over the ropes"
48,"Hussey to Peterson, 1 run full outside off and pushed wide of cover"
49,"Hussey to Duminy, 1 run fullish on the pads and worked down to mid-on"
50,"Hussey to Peterson, 1 run drifts on the pads and he clips it wide of square leg and takes a quick single"
