,Data
0,"Coulter-Nile to Guptill, no run left alone outside off. Decent line and the merest hint of away movement"
1,"Coulter-Nile to Guptill, no run outside off and Guptil swings and misses. A gimme, really"
2,"Coulter-Nile to Guptill, FOUR runs comes forward, opens the face and edges it down to the vacant third-man boundary for the first runs, and boundary, of the match"
3,"Coulter-Nile to Guptill, FOUR runs short and he's muscled this! Front-foot pull through mid-on. Typical Guptil. All upper-body strength and power"
4,"Coulter-Nile to Guptill, 1 run on his legs and flicked for a single. Could've got two, actually, but Williamson sends Guptil back"
5,"Coulter-Nile to Williamson, no run shorter this time and Kane's on the back foot, defending with his usual imperviousness"
6,"Watson to Guptill, no run Watto's first ball is right on the money and defended"
7,"Watson to Guptill, no run again, on the off stump and Guptil clamps down on it, head over the ball"
8,"Watson to Guptill, no run excellent line, this. A touch outside off with a hint of movement away from Guptil, who is forward and defending"
9,"Watson to Guptill, 1 run so close to dragging on! Guptil's onto this shorter ball and gets a thin under edge which evades stumps and keeper"
10,"Watson to Williamson, FOUR runs a waste from Watson and Williamson just tucks this leg-side stray off his toes for four. Easy"
11,"Watson to Williamson, no run Watson yelps an appeal as Williamson's rapped on the pads via an inside edge. Watson retracts his yelp and the umpire doesn't even bother looking at the outrageous appeal"
12,"Agar to Guptill, SIX runs Wellington Boots, that's enormous. An horrific full toss and Guptil mullers it over long-on for a 92-metre monster"
13,"Agar to Guptill, SIX runs and again! Identical to the previous delivery - another full-bunger and Guptil heaves it, muscles it for another six"
14,"Agar to Guptill, no run Agar's landed this one and Guptil tucks him to leg for a single. No! Sent back."
15,"Agar to Guptill, no run hit with terrifying power back to Agar who stops it neatly with a tumble"
16,"Agar to Guptill, no run far better line, just outside off, and full enough too. Blocked"
17,"Agar to Guptill, SIX runs it's big, it's solid, it's six. Good grief, this Agar experiment has been met with a shake of the head from Smith as Guptil murders him over his head for six more"
18,"Watson to Williamson, 1 run tucked off his pads to wide fine leg for a single"
19,"Watson to Guptill, no run shorter, and Guptil attempts another pull but picks out short midwicket"
20,"Watson to Guptill, no run a really good line and length here from Watson, just outside off, and Guptil's in two minds whether to run that to third man or not. Defended."
21,"Watson to Guptill, no run just outside off and defended"
22,"Watson to Guptill, 1 run timed the pants off that, a solid punch off the back foot behind square - Maxwell fields beautifully to save two"
23,"Watson to Williamson, 1 run rides the bounce and punchily defended to mid-off...and they steal a single thanks to a mishap. Bit careless from mid-off there"
24,"Faulkner to Williamson, no run starts well, on middle, and it's blocked"
25,"Faulkner to Williamson, no run short of a length allowing Williamson to rock back, but it cuts back on him marginally and Kane defends"
26,"Faulkner to Williamson, no run very good deliver, tempting him outside off. Williamson is so solid in defence, though, that he comes forward with solidarity to block it out"
