,Data
0,"News from the middle is that SA A have won the toss and elected to bat first, play is scheduled to start at 10h00 local time."
1,"Copeland to Elgar, 2 runs full and straight, pushed trhough the covers for a couple to start off this match."
2,"Copeland to Elgar, no run no shot offered, just wide of off-stump and getting some decent swing with this new ball."
3,"Copeland to Elgar, no run no shot offered, just wide of off-stump and getting some decent swing with this new ball, swinging the ball away from the left-hander."
4,"Copeland to Elgar, no run"
5,"Copeland to Elgar, no run no shot offered once more"
6,"Copeland to Elgar, no run swing and miss, only jsut beating the edge."
7,"Siddle to Petersen, no run down leg"
8,"Siddle to Petersen, no run no shot offered, swings away from the right-hander."
9,"Siddle to Petersen, no run no shot offered, swung back into the right hander this tim,e but well left."
10,"Siddle to Petersen, OUT once again offering no shot, this time the line is a bit straighter and he is hit right on off-stump, no shot offered so even if that had hit outside off, the umpire had full rights to send him packing, which is exactl"
11,"Siddle to van Zyl, 1 leg bye full and straight, struck on the pads but that was going down leg, gets a leg-bye to square leg."
12,"Siddle to Elgar, no run no shot offered, decent pace and carry thorugh to Haddin who takes the ball at shoulder-height."
13,"Copeland to van Zyl, no run no shot offered."
14,"Copeland to van Zyl, no run"
15,"Copeland to van Zyl, no run play and miss, gets the left-hander to fish outside off, very nearly gets the edge as he drops his hands at the last second."
16,"Copeland to van Zyl, no run"
17,"Copeland to van Zyl, no run no shot offered greeted by a choir of oh's and ah's from the slips."
18,"Copeland to van Zyl, no run driven straight to mid-off, nothing on there."
19,"Siddle to Elgar, no run wide outside off, no shot offered."
20,"Siddle to Elgar, no run fuller delivery, outside off, no shot offered"
21,"Siddle to Elgar, no run"
22,"Siddle to Elgar, 1 run"
23,"Siddle to van Zyl, no run"
24,"Siddle to van Zyl, no run no shot offered."
25,"Copeland to Elgar, no run squares him up and gets another play and miss."
26,"Copeland to Elgar, no run no shot offered"
27,"Copeland to Elgar, no run attempted forward defence, beats the outside edge."
28,"Copeland to Elgar, 3 runs pushed down the ground to the vacant long-on area."
29,"Copeland to van Zyl, no run solid forward defence."
30,"Copeland to van Zyl, 1 run defended to square leg, picks up an easy single."
31,"Siddle to van Zyl, no run no shot offered."
32,"Siddle to van Zyl, no run"
33,"Siddle to van Zyl, no run"
34,"Siddle to van Zyl, no run dropped by Hussey at gully, one-handed effort to his left."
35,"Siddle to van Zyl, 1 bye"
36,"Siddle to Elgar, no run pulls the bat away at the last moment and offeres no shot."
37,"Copeland to van Zyl, no run no shot offered, just outside off, gets decent bounce and carry once more."
38,"Copeland to van Zyl, 4 runs full and outside off, driven through the covers and gets three, overthrows as well results in another."
39,"Copeland to van Zyl, no run"
40,"Copeland to van Zyl, 2 runs straying down leg, flicked off the pads down to fine leg."
41,"Copeland to van Zyl, FOUR runs half-volley, smashed back past the bowler and the ball races to the sight-screen."
42,"Copeland to van Zyl, no run defended off the backfoot, hopped around a little as if he did not pick up the length or was suprised by the bounce, but well defended in the end."
43,"Siddle to Elgar, 3 runs full and striaght, whipped off the legs to the vacant deep midwicket area, picks up an easy three."
44,"Siddle to van Zyl, no run defended well of the backfoot once more."
45,"Siddle to van Zyl, no run no shot offered, just wide outside off, decent bounce and carry."
46,"Siddle to van Zyl, no run defended off the backfoot, this time the shortish delivery strays a bit lower, no real bounce there."
47,"Siddle to van Zyl, no run attempted drive through the covers, slightly short of a length, gets a thickish inside edge straight back to the bowler."
48,"Siddle to van Zyl, no run no shot offered, well-left in the end as the inward movement off the deck is well-judged."
49,"Copeland to Elgar, 3 runs pushed through the covers, doesn't quite reach the fence and is haule in by the chasing cover-fielder."
50,"Copeland to van Zyl, no run no shot offered."
51,"Copeland to van Zyl, 1 run inside edge only just misses his stumps as the ball runs down to fine leg."
52,"Copeland to Elgar, no run no shot offered."
53,"Copeland to Elgar, no run"
54,"Copeland to Elgar, 1 run full and straight, flicked down leg side to fine leg fielder, Peter Siddle."
55,"Siddle to Elgar, no run worked away srtaight to cover-point off the frontfoot."
56,"Siddle to Elgar, no run defended off the backfoot."
57,"Siddle to Elgar, no run swing and miss"
58,"Siddle to Elgar, no run defended away to mid-wicket."
59,"Siddle to Elgar, 1 run pushed through the covers for an easy single."
60,"Siddle to van Zyl, no run excellent delivery, enticed van Zyl to get forward and attempt a forward defensive shot, gets movement off the deck and beats the edge only just with a considerable ammount of bounce too. Excellent delivery."
61,"Copeland to Elgar, no run no shot offered."
62,"Copeland to Elgar, FOUR runs short and widish, cut through the vacant gully area, very nearly went straight to the slips, not sure that was controlled, but gets aboundary none the less."
63,"Copeland to Elgar, no run cut straight to point who puts in a great diving-effort and saves a certain boundary."
64,"Copeland to Elgar, no run"
65,"Copeland to Elgar, no run"
66,"Copeland to Elgar, 1 run pushed straight to cover where another miss-field results in an easy single. The Australian fielding has not been all that great this morning."
67,"Johnson to Elgar, no run short and straight, defended off the backfoot."
68,"Johnson to Elgar, no run strays down leg and misses the attempted glance down to fine leg."
69,"Johnson to Elgar, no run haqlf a stride forward and defends solidly."
70,"Johnson to Elgar, no run widish outside off, no shot offered."
71,"Johnson to Elgar, 1 run pushed to cover and sets off for a quick single."
72,"Johnson to van Zyl, no run full and just outside the line of off-stump, entices van Zyl to drive and nearly gets the edge."
73,"Watson to Elgar, no run"
74,"Watson to Elgar, no run driven straight to cover-point, not timed too well either with the square-drive."
75,"Watson to Elgar, FOUR runs strays down leg and the fine glance down to the fence works out well for Elgar."
76,"Watson to Elgar, no run defended off the backfoot."
77,"Watson to Elgar, no run defended to the mid-wicket area off the backfoot this time."
78,"Watson to Elgar, no run"
79,"Johnson to van Zyl, no run widish outside off, no shot offered."
80,"Johnson to van Zyl, no run pushed straight to cover-point."
81,"Johnson to van Zyl, no run excellent delivery, gets decent inward movement and beats both the stumps and the inside edge."
82,"Johnson to van Zyl, no run no shot offered."
83,"Johnson to van Zyl, no run"
84,"Johnson to van Zyl, no run pushed out to mid-off, but lack of placement prevents a single to be run."
85,"Watson to Elgar, no run defended off the backfoot."
86,"Watson to Elgar, 2 runs worked thorugh mid-wicket for an easy couple."
87,"Watson to Elgar, 1 run straight again, worked out to square leg."
88,"Watson to van Zyl, OUT straight and short of a length, gets the ball to straighten to the left-hander, coming right-arm over the stumps, van Zyl plays all around it and is sent back to the changeroom."
89,"Watson to Duminy, no run defended straight back to the bowler."
90,"Watson to Duminy, no run no shot offered."
91,"Johnson to Elgar, no run play and miss outside off, wild flash at that."
92,"Johnson to Elgar, no run worked to gully, diving effort saves a certain boundary."
93,"Johnson to Elgar, no run no shot offered."
94,"Johnson to Elgar, no run pushed straight to mid-off."
95,"Johnson to Elgar, no run bouncer, and a good one at that, picked up early by Elgar and gets under it quickly."
96,"Johnson to Elgar, FOUR runs short and just outside off, smashed past point and the ball races to the fence, well-controlled shot."
97,"Watson to Duminy, no run no shot offered."
98,"Watson to Duminy, 1 run"
99,"Watson to Elgar, no run well-driven back to the bowler who get a hand on it. Good cricket all around."
100,"Watson to Elgar, no run widish outside off and full, beautiful square-drive, but straight to point."
101,"Watson to Elgar, no run driven back to Watson, he field with ease, not timed as well as the previous one in this over."
102,"Johnson to Duminy, 4 byes attmepted bouncer, this time way down leg, not only missing the batsmen, but also too wide and high for Haddin to grab."
103,"Johnson to Duminy, no run better bouncer this time around, Duminy ducks under it quickly."
104,"Johnson to Duminy, no run"
105,"Johnson to Duminy, no run well-defended off the front foot."
106,"Johnson to Duminy, no run defended off the backfoot this time."
107,"Johnson to Duminy, no run defended away to gully."
108,"Watson to Elgar, no run"
109,"Watson to Elgar, no run"
110,"Watson to Elgar, 1 leg bye"
111,"Watson to Duminy, no run short-of-a-length and striaght, right into his body."
112,"Watson to Duminy, no run solid forward defence."
113,"Watson to Duminy, 1 run driven striaght through the hands of the cover fielder, results in a single."
114,"Johnson to Duminy, no run"
115,"Johnson to Duminy, no run strayed down leg."
116,"Johnson to Duminy, no run"
